id,date,target
AS14.01,2014-03-26,6.6
AS14.01,2014-03-27,7.0
AS14.01,2014-03-28,6.4
AS14.01,2014-03-29,8.0
AS14.01,2014-03-30,7.5
AS14.01,2014-03-31,7.4
AS14.01,2014-04-01,6.0
AS14.01,2014-04-02,6.5
AS14.01,2014-04-03,6.4
AS14.01,2014-04-04,6.2
AS14.01,2014-04-05,6.8
AS14.01,2014-04-06,6.5
AS14.01,2014-04-07,6.5
AS14.01,2014-04-08,6.6
AS14.01,2014-04-09,7.4
AS14.01,2014-04-10,7.4
AS14.01,2014-04-11,7.0
AS14.01,2014-04-12,7.25
AS14.01,2014-04-13,8.0
AS14.01,2014-04-14,7.2
AS14.01,2014-04-15,6.4
AS14.01,2014-04-16,7.2
AS14.01,2014-04-17,6.6
AS14.01,2014-04-18,6.8
AS14.01,2014-04-19,7.8
AS14.01,2014-04-20,7.25
AS14.01,2014-04-21,7.6
AS14.01,2014-04-22,7.4
AS14.01,2014-04-23,7.6
AS14.01,2014-04-24,7.6
AS14.01,2014-04-25,7.2
AS14.01,2014-04-26,7.6
AS14.01,2014-04-27,7.5
AS14.01,2014-04-28,7.6
AS14.01,2014-04-29,7.0
AS14.01,2014-04-30,7.8
AS14.01,2014-05-01,8.0
AS14.01,2014-05-02,7.6
AS14.01,2014-05-03,8.0
AS14.01,2014-05-04,8.0
AS14.01,2014-05-05,8.0
AS14.02,2014-03-22,6.5
AS14.02,2014-03-23,6.25
AS14.02,2014-03-24,6.4
AS14.02,2014-03-25,7.75
AS14.02,2014-03-26,7.2
AS14.02,2014-03-27,7.25
AS14.02,2014-03-28,6.8
AS14.02,2014-03-29,7.25
AS14.02,2014-03-30,7.0
AS14.02,2014-03-31,7.2
AS14.02,2014-04-01,7.4
AS14.02,2014-04-02,6.4
AS14.02,2014-04-03,5.75
AS14.02,2014-04-04,6.4
AS14.02,2014-04-05,7.4
AS14.02,2014-04-06,4.5
AS14.02,2014-04-07,6.8
AS14.02,2014-04-08,6.25
AS14.02,2014-04-09,7.25
AS14.02,2014-04-10,7.25
AS14.02,2014-04-11,6.5
AS14.02,2014-04-12,6.0
AS14.02,2014-04-13,7.2
AS14.02,2014-04-14,8.0
AS14.02,2014-04-15,7.25
AS14.02,2014-04-16,6.666666666666667
AS14.02,2014-04-17,6.5
AS14.02,2014-04-18,6.5
AS14.02,2014-04-19,5.666666666666667
AS14.02,2014-04-20,5.0
AS14.02,2014-04-21,5.5
AS14.02,2014-04-22,5.666666666666667
AS14.02,2014-04-23,5.5
AS14.02,2014-04-24,7.0
AS14.02,2014-04-25,9.0
AS14.03,2014-03-27,7.75
AS14.03,2014-03-28,8.0
AS14.03,2014-03-29,8.6
AS14.03,2014-03-30,8.4
AS14.03,2014-03-31,7.4
AS14.03,2014-04-01,7.6
AS14.03,2014-04-02,7.4
AS14.03,2014-04-03,7.8
AS14.03,2014-04-04,7.8
AS14.03,2014-04-05,7.6
AS14.03,2014-04-06,6.8
AS14.03,2014-04-07,7.4
AS14.03,2014-04-08,7.4
AS14.03,2014-04-09,7.8
AS14.03,2014-04-10,7.4
AS14.03,2014-04-11,7.6
AS14.03,2014-04-12,7.666666666666667
AS14.03,2014-04-13,7.4
AS14.03,2014-04-14,7.0
AS14.03,2014-04-15,7.6
AS14.03,2014-04-16,8.0
AS14.03,2014-04-17,7.25
AS14.03,2014-04-18,7.5
AS14.03,2014-04-19,7.8
AS14.03,2014-04-20,7.5
AS14.03,2014-04-21,7.4
AS14.03,2014-04-22,7.6
AS14.03,2014-04-23,7.0
AS14.03,2014-04-24,7.4
AS14.03,2014-04-25,7.5
AS14.03,2014-04-26,7.5
AS14.03,2014-04-27,7.6
AS14.03,2014-04-28,7.0
AS14.03,2014-04-29,7.2
AS14.03,2014-04-30,7.0
AS14.03,2014-05-01,7.2
AS14.03,2014-05-02,7.6
AS14.03,2014-05-03,7.75
AS14.03,2014-05-04,7.4
AS14.03,2014-05-05,7.25
AS14.03,2014-05-06,7.458333333333334
AS14.03,2014-05-07,7.666666666666667
AS14.03,2014-05-08,7.666666666666667
AS14.05,2014-03-22,3.75
AS14.05,2014-03-23,4.4
AS14.05,2014-03-24,3.75
AS14.05,2014-03-25,5.333333333333333
AS14.05,2014-03-26,5.5
AS14.05,2014-03-27,5.8
AS14.05,2014-03-28,6.2
AS14.05,2014-03-29,6.4
AS14.05,2014-03-30,6.2
AS14.05,2014-03-31,6.8
AS14.05,2014-04-01,7.0
AS14.05,2014-04-02,7.0
AS14.05,2014-04-03,7.2
AS14.05,2014-04-04,7.0
AS14.05,2014-04-05,7.5
AS14.05,2014-04-06,6.8
AS14.05,2014-04-07,6.75
AS14.05,2014-04-08,6.75
AS14.05,2014-04-09,7.0
AS14.05,2014-04-10,7.2
AS14.05,2014-04-11,7.0
AS14.05,2014-04-12,7.0
AS14.05,2014-04-13,7.5
AS14.05,2014-04-14,6.4
AS14.05,2014-04-15,7.0
AS14.05,2014-04-16,7.2
AS14.05,2014-04-17,6.6
AS14.05,2014-04-18,7.5
AS14.05,2014-04-19,7.2
AS14.05,2014-04-20,7.2
AS14.05,2014-04-21,7.2
AS14.05,2014-04-22,7.2
AS14.05,2014-04-23,7.2
AS14.05,2014-04-24,7.2
AS14.05,2014-04-25,7.2
AS14.05,2014-04-26,7.8
AS14.05,2014-04-27,7.4
AS14.05,2014-04-28,7.0
AS14.05,2014-04-29,6.8
AS14.05,2014-04-30,7.0
AS14.05,2014-05-01,6.8
AS14.05,2014-05-02,7.0
AS14.05,2014-05-03,6.75
AS14.05,2014-05-04,7.0
AS14.05,2014-05-05,6.333333333333333
AS14.06,2014-03-29,7.8
AS14.06,2014-03-30,7.8
AS14.06,2014-03-31,7.0
AS14.06,2014-04-01,7.75
AS14.06,2014-04-02,6.8
AS14.06,2014-04-03,7.2
AS14.06,2014-04-04,7.0
AS14.06,2014-04-05,7.0
AS14.06,2014-04-06,7.0
AS14.06,2014-04-07,6.2
AS14.06,2014-04-08,6.6
AS14.06,2014-04-09,7.4
AS14.06,2014-04-10,7.6
AS14.06,2014-04-11,7.8
AS14.06,2014-04-12,8.2
AS14.06,2014-04-13,6.5
AS14.06,2014-04-14,7.25
AS14.06,2014-04-15,7.0
AS14.06,2014-04-16,7.6
AS14.06,2014-04-17,6.8
AS14.06,2014-04-18,6.25
AS14.06,2014-04-19,6.8
AS14.06,2014-04-20,8.2
AS14.06,2014-04-21,7.0
AS14.06,2014-04-22,6.6
AS14.06,2014-04-23,7.0
AS14.06,2014-04-24,7.75
AS14.06,2014-04-25,6.4
AS14.06,2014-04-26,7.5
AS14.06,2014-04-27,7.2
AS14.06,2014-04-28,6.75
AS14.06,2014-04-29,7.25
AS14.06,2014-04-30,6.8
AS14.06,2014-05-01,8.0
AS14.06,2014-05-02,7.2
AS14.06,2014-05-03,6.25
AS14.06,2014-05-04,7.6
AS14.06,2014-05-05,7.0
AS14.06,2014-05-06,6.875
AS14.06,2014-05-07,6.75
AS14.06,2014-05-08,7.0
AS14.07,2014-03-30,6.2
AS14.07,2014-03-31,4.333333333333333
AS14.07,2014-04-01,6.6
AS14.07,2014-04-02,5.5
AS14.07,2014-04-03,6.2
AS14.07,2014-04-04,6.5
AS14.07,2014-04-05,6.0
AS14.07,2014-04-06,6.75
AS14.07,2014-04-07,5.4
AS14.07,2014-04-08,6.8
AS14.07,2014-04-09,6.4
AS14.07,2014-04-10,6.2
AS14.07,2014-04-11,3.5
AS14.07,2014-04-12,6.4
AS14.07,2014-04-13,6.5
AS14.07,2014-04-14,6.2
AS14.07,2014-04-15,6.0
AS14.07,2014-04-16,4.75
AS14.07,2014-04-17,3.8
AS14.07,2014-04-18,5.2
AS14.07,2014-04-19,7.0
AS14.07,2014-04-20,3.0
AS14.07,2014-04-21,6.6
AS14.07,2014-04-22,6.0
AS14.07,2014-04-23,6.0
AS14.07,2014-04-24,5.6
AS14.07,2014-04-25,3.3333333333333335
AS14.07,2014-04-26,5.4
AS14.07,2014-04-27,6.0
AS14.07,2014-04-28,6.75
AS14.07,2014-04-29,5.0
AS14.07,2014-04-30,5.0
AS14.07,2014-05-01,5.0
AS14.07,2014-05-02,6.2
AS14.07,2014-05-03,5.666666666666667
